Week_Start_Date,Units_Sold,Unit_Price_PKR,Promotion_Flag,Notes
2024-07-01,1789000,1650,0,
2024-07-08,1661000,1650,0,
2024-07-15,1836000,1660,0,
2024-07-22,1856000,1660,0,
2024-07-29,1577000,1660,0,
2024-08-05,1679000,1660,0,
2024-08-12,1823000,1670,0,
2024-08-19,1460000,1670,0,Monsoon disruption
2024-08-26,2160000,1670,1,Illustrative dealer promotion
2024-09-02,2629000,1670,1,Illustrative dealer promotion
2024-09-09,2486000,1680,1,Illustrative dealer promotion
2024-09-16,2032000,1680,0,
2024-09-23,1889000,1680,0,
2024-09-30,2025000,1680,0,
2024-10-07,1978000,1820,0,Illustrative price increase
2024-10-14,2191000,1760,0,
2024-10-21,2086000,1760,0,
2024-10-28,2072000,1760,0,
2024-11-04,2076000,1760,0,
2024-11-11,2304000,1770,0,
2024-11-18,2142000,1770,0,
2024-11-25,2112000,1770,0,
2024-12-02,2043000,1770,0,
2024-12-09,2146000,1780,0,
2024-12-16,2129000,1780,0,
2024-12-23,2136000,1780,0,
2024-12-30,2141000,1780,0,
2025-01-06,3070000,1790,1,Illustrative dealer promotion
2025-01-13,2471000,1790,1,Illustrative dealer promotion
2025-01-20,2232000,1790,0,
2025-01-27,2295000,1800,0,
2025-02-03,2210000,1800,0,
2025-02-10,2124000,1800,0,
2025-02-17,2127000,1800,0,
2025-02-24,2310000,1810,0,
2025-03-03,2367000,1810,0,
2025-03-10,2344000,1810,0,
2025-03-17,2195000,1810,0,
2025-03-24,2310000,1820,0,
2025-03-31,2067000,1820,0,Eid/holiday-related slowdown
2025-04-07,2354000,1820,0,
2025-04-14,2440000,1820,0,
2025-04-21,2359000,1830,0,
2025-04-28,2713000,1830,1,Illustrative dealer promotion
2025-05-05,2805000,1830,1,Illustrative dealer promotion
2025-05-12,2073000,1830,0,
2025-05-19,2216000,1840,0,
2025-05-26,2199000,1840,0,
2025-06-02,1938000,1840,0,
2025-06-09,1980000,1850,0,
2025-06-16,2178000,1850,0,
2025-06-23,1918000,1850,0,
2025-06-30,2123000,1850,0,
2025-07-07,1678000,1990,0,
2025-07-14,1817000,1990,0,
2025-07-21,1870000,1990,0,
2025-07-28,1915000,1990,0,
2025-08-04,1973000,2000,0,
2025-08-11,1983000,2000,0,
2025-08-18,1530000,2000,0,Monsoon disruption
2025-08-25,2142000,2010,1,Illustrative dealer promotion
2025-09-01,2580000,2010,1,Illustrative dealer promotion
2025-09-08,1947000,2010,0,
2025-09-15,1974000,2010,0,
2025-09-22,2138000,2020,0,
2025-09-29,2099000,2020,0,
2025-10-06,2274000,2100,0,Illustrative price increase
2025-10-13,2141000,2030,0,
2025-10-20,2214000,2030,0,
2025-10-27,2272000,2030,0,
2025-11-03,2224000,2030,0,
2025-11-10,2322000,2040,0,
2025-11-17,2184000,2040,0,
2025-11-24,2224000,2040,0,
2025-12-01,2139000,2050,0,
2025-12-08,2043000,2050,0,
2025-12-15,2248000,2050,0,
2025-12-22,2134000,2050,0,
2025-12-29,2511000,2060,1,Illustrative dealer promotion
2026-01-05,2315000,2060,0,
2026-01-12,2344000,2060,0,
2026-01-19,2251000,2060,0,
2026-01-26,2213000,2070,0,
2026-02-02,2322000,2070,0,
2026-02-09,2118000,2070,0,
2026-02-16,2151000,2080,0,
2026-02-23,2168000,2080,0,
2026-03-02,2253000,2080,0,
2026-03-09,2439000,2080,0,
2026-03-16,2269000,2090,0,
2026-03-23,2107000,2090,0,Eid/holiday-related slowdown
2026-03-30,2563000,2090,0,
2026-04-06,2390000,2100,0,
2026-04-13,2539000,2100,0,
2026-04-20,2696000,2100,1,Illustrative dealer promotion
2026-04-27,2930000,2100,1,Illustrative dealer promotion
2026-05-04,2468000,2110,0,
2026-05-11,2137000,2110,0,
2026-05-18,2420000,2110,0,
2026-05-25,2397000,2120,0,
2026-06-01,2036000,2120,0,
2026-06-08,1939000,2120,0,
2026-06-15,2117000,2120,0,
2026-06-22,2049000,2130,0,
